question_id,disease_category,disease_prevalence,question_type,requires_visual_reasoning,original_disease,canonical_disease,disease_subcategory
3,Other,moderate,diagnosis,False,Stage Iv Pressure Injury With Osteomyelitis,Stage IV Pressure Injury With Osteomyelitis,Traumatic & Environmental
1,Pigmentation,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Induced Vitiligo,Immune Checkpoint Inhibitor-Induced Vitiligo,Hypopigmentation
2,Other,moderate,diagnosis,False,Massive Ventral Hernia With Abdominal Loss Of Domain,Massive Ventral Hernia With Abdominal Loss Of Domain,Traumatic & Environmental
0,Inflammatory,common,diagnosis,True,Drug-Induced Urticaria,Drug-Induced Urticaria,Vascular & Urticarial
6,Inflammatory,rare,diagnosis,False,Iga Pemphigus,IgA Pemphigus,Autoimmune
5,Neoplastic,rare,diagnosis,False,Adrenocortical Carcinoma,Adrenocortical Carcinoma,Malignant
4,Neoplastic,rare,diagnosis,False,Rreb1::Mrtfb Fusion-Positive Extra-Glossal Mesenchymal Neoplasm,RREB1::MRTFB Fusion-Positive Extra-Glossal Mesenchymal Neoplasm,Benign
7,Inflammatory,moderate,diagnosis,False,Pyoderma Gangrenosum,Pyoderma Gangrenosum,Neutrophilic
8,Inflammatory,rare,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
9,Inflammatory,rare,diagnosis,False,Evans Syndrome,Evans Syndrome,Autoimmune
11,Neoplastic,moderate,diagnosis,False,"Diffuse Large B-Cell Lymphoma, Non-Germinal Center B-Cell Subtype","Diffuse Large B-Cell Lymphoma, Non-Germinal Center B-Cell Subtype",Malignant
10,Inflammatory,moderate,diagnosis,True,Nail Lichen Planus,Nail Lichen Planus,Papulosquamous
13,Infectious,common,diagnosis,False,Recurrent Furunculosis With Carbuncle Formation,Recurrent Furunculosis,Bacterial
14,Inflammatory,common,diagnosis,True,Chronic Venous Ulcer,Chronic Venous Ulcer,Vascular & Urticarial
12,Inflammatory,rare,diagnosis,True,Sweet Syndrome,Sweet's Syndrome,Neutrophilic
16,Genetic Rare,rare,diagnosis,True,Aplasia Cutis Congenita Type V,Aplasia Cutis Congenita Type V,Syndromic
17,Other,moderate,diagnosis,False,Chronic Traumatic Ulcer,Chronic Traumatic Ulcer,Traumatic & Environmental
15,Inflammatory,rare,diagnosis,False,Photo Recall Dermatitis,Radiation Recall Dermatitis,Eczematous
18,Infectious,rare,diagnosis,False,Trichophyton Indotineae Infection (Tinea Corporis/Cruris),Trichophyton Indotineae Infection,Fungal
19,Other,rare,diagnosis,False,Capillary Leak Syndrome,Capillary Leak Syndrome,Unclassified
20,Inflammatory,rare,diagnosis,False,Lenvatinib-Induced Hematologic Toxicity,Lenvatinib-Induced Hematologic Toxicity,Neutrophilic
21,Neoplastic,common,diagnosis,False,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,Malignant
22,Neoplastic,moderate,diagnosis,False,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,Malignant
23,Genetic Rare,rare,diagnosis,False,Keratitis-Ichthyosis-Deafness Syndrome,Keratitis-Ichthyosis-Deafness Syndrome,Syndromic
25,Genetic Rare,rare,diagnosis,False,Mainzer-Saldino Syndrome,Mainzer-Saldino Syndrome,Syndromic
