pid,role,derm_years,gp_years,years_experience,group,case_index,question_id,n_sources,correct_choice,correct_answer_text,llm_answer,llm_answer_text,llm_is_correct,initial_answer,final_answer,initial_correct,final_correct,answered,changed_answer,initial_eq_llm,final_eq_llm,switched_to_llm,switched_from_llm,n_support,n_support_rated,all_sources_support,any_source_supports,question_type,disease_category,disease_prevalence,original_disease,canonical_disease,disease_subcategory,question_structure
p02,Dermatologist,4-9 years,,4-9 years,1,1,1254,3,C,High TSH,C,High TSH,True,B,E,False,False,True,True,False,False,False,False,2,3,False,True,diagnosis,Metabolic Systemic,common,Hypothyroidism,Hypothyroidism,Endocrine-Associated,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,2,4915,1,B,located on buttock,B,located on buttock,True,B,B,True,True,True,False,True,True,False,False,0,1,False,False,diagnosis,Neoplastic,moderate,Dysplastic Nevus,Dysplastic Nevus,Premalignant,short_stem
p02,Dermatologist,4-9 years,,4-9 years,1,3,554,3,A,Transpeptidase,A,Transpeptidase,True,C,A,False,True,True,True,False,True,True,False,0,3,False,False,treatment,Infectious,moderate,Syphilis,Syphilis,Bacterial,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,4,83,4,A,Gastric adenocarcinoma,A,Gastric adenocarcinoma,True,A,A,True,True,True,False,True,True,False,False,2,4,False,True,diagnosis,Pigmentation,moderate,Acanthosis Nigricans,Acanthosis Nigricans,Hyperpigmentation,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,5,59,2,B,Acute promyelocytic leukemia,B,Acute promyelocytic leukemia,True,A,A,False,False,True,False,False,False,False,False,2,2,True,True,mechanism,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,6,9946,1,C,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,C,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,True,C,C,True,True,True,False,True,True,False,False,1,1,True,True,treatment,Infectious,moderate,Leprosy,Leprosy,Bacterial,short_stem
p02,Dermatologist,4-9 years,,4-9 years,1,7,8111,2,C,Patch test,A,Skin biopsy,False,A,A,False,False,True,False,True,True,False,False,1,2,False,True,diagnosis,Inflammatory,moderate,Chronic Actinic Dermatitis,Chronic Actinic Dermatitis,Eczematous,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,8,6933,1,B,The patient is taking phenytoin,B,The patient is taking phenytoin,True,B,B,True,True,True,False,True,True,False,False,1,1,True,True,epidemiology,Inflammatory,moderate,Erythema Multiforme,Erythema Multiforme,Vascular & Urticarial,short_stem
p02,Dermatologist,4-9 years,,4-9 years,1,9,3376,2,C,X-linked ichthyosis nigra,C,X-linked ichthyosis nigra,True,C,C,True,True,True,False,True,True,False,False,2,2,True,True,diagnosis,Genetic Rare,rare,X-Linked Ichthyosis,X-Linked Ichthyosis,Genodermatoses,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,10,2518,3,D,Incontinentia pigmenti,D,Incontinentia pigmenti,True,C,D,False,True,True,True,False,True,True,False,3,3,True,True,diagnosis,Genetic Rare,rare,Incontinentia Pigmenti,Incontinentia Pigmenti,Syndromic,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,11,3245,2,C,Verrucous epidermal nevus,C,Verrucous epidermal nevus,True,D,C,False,True,True,True,False,True,True,False,1,2,False,True,diagnosis,Neoplastic,moderate,Verrucous Epidermal Nevus,Verrucous Epidermal Nevus,Benign,short_stem
p02,Dermatologist,4-9 years,,4-9 years,1,12,2068,1,A,VDRL for mother & baby,A,VDRL for mother & baby,True,A,A,True,True,True,False,True,True,False,False,1,1,True,True,diagnosis,Infectious,moderate,Congenital Syphilis,Congenital Syphilis,Bacterial,short_stem
p02,Dermatologist,4-9 years,,4-9 years,1,13,463,2,C,Linear band of immunoglobulin G (IgG) in the epidermal basement membrane,C,Linear band of immunoglobulin G (IgG) in the epidermal basement membrane,True,B,B,False,False,True,False,False,False,False,False,1,2,False,True,mechanism,Inflammatory,moderate,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,14,260,1,D,Coagulative necrosis surrounded by fibroblast and macrophage infiltrate,C,Ulcerated epidermis with plasma cell infiltrate,False,C,C,False,False,True,False,True,True,False,False,1,1,True,True,diagnosis,Infectious,moderate,Syphilis (Tertiary/Gummatous),Syphilis,Bacterial,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,15,586,4,D,Stimulation of the sebaceous glands by androgens,D,Stimulation of the sebaceous glands by androgens,True,D,D,True,True,True,False,True,True,False,False,4,4,True,True,mechanism,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p02,Dermatologist,4-9 years,,4-9 years,1,16,302,2,C,Erythromycin,C,Erythromycin,True,A,C,False,True,True,True,False,True,True,False,1,2,False,True,treatment,Infectious,rare,Bacillary Angiomatosis,Bacillary Angiomatosis,Bacterial,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,1,1254,3,C,High TSH,C,High TSH,True,C,C,True,True,True,False,True,True,False,False,2,3,False,True,diagnosis,Metabolic Systemic,common,Hypothyroidism,Hypothyroidism,Endocrine-Associated,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,2,4915,1,B,located on buttock,B,located on buttock,True,C,B,False,True,True,True,False,True,True,False,1,1,True,True,diagnosis,Neoplastic,moderate,Dysplastic Nevus,Dysplastic Nevus,Premalignant,short_stem
p03,Dermatologist,4-9 years,,4-9 years,1,3,554,3,A,Transpeptidase,A,Transpeptidase,True,A,A,True,True,True,False,True,True,False,False,3,3,True,True,treatment,Infectious,moderate,Syphilis,Syphilis,Bacterial,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,4,83,4,A,Gastric adenocarcinoma,A,Gastric adenocarcinoma,True,A,A,True,True,True,False,True,True,False,False,3,4,False,True,diagnosis,Pigmentation,moderate,Acanthosis Nigricans,Acanthosis Nigricans,Hyperpigmentation,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,5,59,2,B,Acute promyelocytic leukemia,B,Acute promyelocytic leukemia,True,B,B,True,True,True,False,True,True,False,False,2,2,True,True,mechanism,Inflammatory,common,Acne Vulgaris,Acne Vulgaris,Neutrophilic,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,6,9946,1,C,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,C,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,True,C,C,True,True,True,False,True,True,False,False,1,1,True,True,treatment,Infectious,moderate,Leprosy,Leprosy,Bacterial,short_stem
p03,Dermatologist,4-9 years,,4-9 years,1,7,8111,2,C,Patch test,A,Skin biopsy,False,C,C,True,True,True,False,False,False,False,False,2,2,True,True,diagnosis,Inflammatory,moderate,Chronic Actinic Dermatitis,Chronic Actinic Dermatitis,Eczematous,vignette
p03,Dermatologist,4-9 years,,4-9 years,1,8,6933,1,B,The patient is taking phenytoin,B,The patient is taking phenytoin,True,B,B,True,True,True,False,True,True,False,False,1,1,True,True,epidemiology,Inflammatory,moderate,Erythema Multiforme,Erythema Multiforme,Vascular & Urticarial,short_stem
